time,0_y,13_y,14_y,17_y,37_y
30.8,325,336,337,351,324
30.84,324,335,338,354,323
30.88,322,333,340,356,320
30.92,319,330,344,361,317
30.96,319,330,343,360,317
31.0,321,332,343,360,320
31.04,323,334,345,362,321
31.08,322,333,344,361,320
31.12,321,333,343,360,320
31.16,322,334,342,359,321
31.2,324,336,344,361,323
31.24,328,339,348,364,326
31.28,331,341,347,364,329
31.32,332,342,346,362,330
31.36,332,342,345,361,330
31.4,331,341,343,359,329
31.44,329,340,341,356,328
31.48,327,338,340,355,326
31.52,325,336,338,353,324
31.56,323,334,337,352,322
31.6,323,334,339,355,322
31.64,325,336,341,358,323
31.68,327,338,344,360,325
31.72,329,341,346,362,328
31.76,333,345,352,369,331
31.8,336,347,359,376,334
31.84,338,349,361,378,336
31.88,337,348,360,376,335
31.92,336,347,356,373,334
31.96,336,347,354,371,334
32.0,336,347,353,370,335
32.04,335,346,351,368,334
32.08,334,345,350,367,333
32.12,334,345,351,368,332
32.16,331,343,351,368,330
32.2,330,342,348,365,329
32.24,329,341,345,361,328
32.28,330,341,344,360,328
32.32,330,341,343,359,328
32.36,331,342,344,360,329
32.4,330,341,345,361,329
32.44,329,340,343,359,327
32.48,328,339,343,358,327
32.52,329,340,346,363,327
32.56,331,342,356,373,330
32.6,333,344,352,369,331
32.64,334,344,347,363,332
32.68,334,343,345,360,332
32.72,333,343,344,359,331
32.76,334,343,344,358,332
32.8,334,343,344,359,332
32.84,335,345,345,359,333
32.88,335,345,345,359,333
32.92,335,344,345,359,333
32.96,334,343,344,357,332
33.0,332,342,342,356,331
33.04,333,342,343,356,331
33.08,334,343,343,357,332
33.12,333,342,343,357,331
33.16,333,342,343,356,331
33.2,332,341,342,356,330
33.24,332,341,342,355,330
33.28,332,341,342,355,330
33.32,332,341,341,355,330
33.36,331,340,341,354,329
33.4,331,340,340,354,329
33.44,330,340,340,354,329
33.48,330,339,339,353,328
33.52,330,339,340,353,328
33.56,330,339,339,353,328
33.6,329,339,339,353,328
33.64,329,338,339,353,327
33.68,328,338,339,352,327
33.72,328,338,338,352,327
33.76,327,337,338,351,326
33.8,327,337,338,351,326
33.84,327,337,337,351,325
33.88,326,336,337,350,325
33.92,326,336,336,350,325
33.96,326,336,336,350,325
34.0,325,335,336,350,324
34.04,325,335,336,350,324
34.08,325,335,336,350,324
34.12,325,335,336,350,324
34.16,326,335,336,350,324
34.2,326,335,336,350,324
34.24,326,336,336,350,325
34.28,326,336,336,350,324
34.32,326,336,336,350,325
34.36,326,336,336,350,325
34.4,326,335,336,350,324
34.44,326,335,336,350,324
34.48,326,335,336,350,324
34.52,326,336,336,351,324
34.56,325,335,336,350,324
34.6,324,333,335,348,322
34.64,322,332,333,347,320
34.68,321,331,332,346,319
34.72,319,330,331,345,318
34.76,318,329,330,344,317
34.8,317,328,329,343,316
34.84,317,327,328,342,316
34.88,316,327,328,342,315
34.92,316,326,327,341,315
34.96,316,327,328,343,316
35.0,318,328,329,343,317
35.04,320,330,331,345,319
35.08,323,333,334,348,322
35.12,325,335,336,350,324
35.16,326,337,337,352,325
35.2,326,337,337,351,325
35.24,325,335,337,351,324
35.28,323,333,337,352,322
35.32,322,334,339,355,321
35.36,324,335,344,361,323
35.4,326,337,350,367,325
35.44,327,338,356,373,326
35.48,327,338,357,374,326
35.52,326,338,358,375,325
35.56,326,338,358,375,326
35.6,328,339,355,373,327
35.64,332,343,349,366,330
35.68,333,344,349,365,332
35.72,334,345,349,365,333
35.76,336,347,353,369,335
35.8,339,350,357,374,338
35.84,340,351,357,373,339
35.88,341,352,355,371,340
35.92,342,351,352,366,340
35.96,342,351,351,365,340
36.0,342,351,351,365,340
36.04,341,350,350,364,340
36.08,341,350,350,363,339
36.12,340,349,349,363,339
36.16,340,349,349,363,338
36.2,339,348,349,362,337
36.24,338,347,347,361,336
36.28,337,346,346,360,335
36.32,335,344,345,358,334
36.36,333,343,343,357,332
36.4,330,340,340,353,329
36.44,327,337,337,350,326
36.48,325,335,335,348,323
36.52,324,335,335,349,323
36.56,329,339,339,354,327
36.6,330,341,347,364,329
36.64,333,343,350,366,331
36.68,331,341,349,365,330
36.72,332,342,350,365,330
36.76,334,345,351,367,333
36.8,337,348,351,367,335
36.84,339,350,353,369,338
36.88,342,353,356,372,341
36.92,344,355,359,375,343
36.96,346,357,363,379,345
37.0,348,358,364,380,347
37.04,349,359,364,380,348
37.08,352,362,366,382,350
37.12,357,367,372,388,356
37.16,358,367,373,389,356
37.2,358,367,373,389,357
37.24,356,365,371,387,354
37.28,355,364,370,386,354
37.32,357,366,370,385,355
37.36,359,368,371,386,357
37.4,359,368,370,385,357
37.44,358,367,369,384,356
37.48,356,366,370,386,354
37.52,356,366,372,389,354
37.56,356,366,373,389,354
37.6,356,366,371,388,354
37.64,356,365,368,384,354
37.68,356,365,366,381,354
37.72,355,364,364,379,353
37.76,354,362,363,377,352
37.8,353,361,362,376,351
37.84,352,361,361,376,350
37.88,351,360,360,375,349
37.92,349,358,359,373,347
37.96,348,357,357,372,346
38.0,346,355,356,370,344
38.04,343,353,353,368,341
38.08,340,350,351,366,339
38.12,339,349,349,364,338
38.16,338,348,348,363,337
38.2,337,347,347,361,335
38.24,335,345,346,360,334
38.28,333,344,344,358,332
38.32,331,341,342,357,330
38.36,328,339,340,354,327
38.4,325,335,337,351,324
38.44,323,335,338,354,322
38.48,322,334,339,356,321
38.52,322,334,341,358,321
38.56,322,334,342,359,321
38.6,322,334,340,357,320
38.64,321,333,343,360,320
38.68,323,335,350,368,322
38.72,324,335,351,368,322
38.76,326,338,345,363,324
38.8,326,338,347,364,324
38.84,329,340,351,368,327
38.88,334,345,356,373,332
38.92,337,349,357,374,335
38.96,339,350,359,376,337
39.0,340,351,363,380,338
39.04,341,352,362,379,339
39.08,342,353,359,376,340
39.12,343,353,357,373,341
39.16,342,352,355,371,340
39.2,342,352,354,370,340
39.24,342,352,354,369,340
