time,14_x,14_y
31.24,621,348
31.28,620,347
31.32,620,346
31.36,619,345
31.4,619,343
31.44,620,341
31.48,622,340
31.52,621,338
31.56,621,337
31.6,620,339
31.64,620,341
31.68,619,344
31.72,618,346
31.76,616,352
31.8,617,359
31.84,619,361
31.88,620,360
31.92,621,356
31.96,623,354
32.0,623,353
32.04,624,351
32.08,625,350
32.12,624,351
32.16,624,351
32.2,622,348
32.24,620,345
32.28,619,344
32.32,618,343
32.36,618,344
32.4,618,345
32.44,619,343
32.48,619,343
32.52,618,346
32.56,619,356
32.6,620,352
32.64,620,347
32.68,620,345
32.72,620,344
32.76,620,344
32.8,621,344
32.84,621,345
32.88,622,345
32.92,622,345
32.96,622,344
33.0,622,342
33.04,621,343
33.08,621,343
33.12,621,343
33.16,621,343
33.2,621,342
33.24,621,342
33.28,620,342
33.32,620,341
33.36,621,341
33.4,621,340
33.44,621,340
33.48,621,339
33.52,622,340
33.56,622,339
33.6,622,339
33.64,622,339
33.68,622,339
33.72,622,338
33.76,622,338
33.8,622,338
33.84,622,337
33.88,622,337
33.92,622,336
33.96,623,336
34.0,623,336
34.04,623,336
34.08,623,336
34.12,623,336
34.16,623,336
34.2,623,336
34.24,623,336
34.28,623,336
34.32,623,336
34.36,623,336
34.4,623,336
34.44,624,336
34.48,623,336
34.52,625,336
34.56,626,336
34.6,626,335
34.64,626,333
34.68,626,332
34.72,626,331
34.76,627,330
34.8,627,329
34.84,629,328
34.88,631,328
34.92,632,327
34.96,633,328
35.0,633,329
35.04,634,331
35.08,634,334
35.12,633,336
35.16,632,337
35.2,631,337
35.24,629,337
35.28,628,337
35.32,629,339
35.36,628,344
35.4,628,350
35.44,628,356
35.48,628,357
35.52,627,358
35.56,626,358
35.6,626,355
35.64,625,349
35.68,624,349
35.72,623,349
35.76,623,353
35.8,623,357
35.84,623,357
35.88,622,355
35.92,621,352
35.96,621,351
36.0,621,351
36.04,621,350
36.08,621,350
36.12,621,349
36.16,621,349
36.2,620,349
36.24,620,347
36.28,621,346
36.32,622,345
36.36,622,343
36.4,622,340
36.44,622,337
36.48,621,335
36.52,618,335
36.56,617,339
36.6,618,347
36.64,619,350
36.68,618,349
36.72,618,350
36.76,618,351
36.8,619,351
36.84,620,353
36.88,623,356
36.92,624,359
36.96,627,363
37.0,629,364
37.04,630,364
37.08,630,366
37.12,630,372
37.16,629,373
37.2,629,373
37.24,628,371
37.28,627,370
37.32,625,370
37.36,622,371
37.4,621,370
37.44,620,369
37.48,620,370
37.52,619,372
37.56,620,373
37.6,620,371
37.64,620,368
37.68,620,366
37.72,620,364
37.76,622,363
37.8,621,362
37.84,621,361
37.88,622,360
37.92,622,359
37.96,621,357
38.0,624,356
38.04,624,353
38.08,622,351
38.12,622,349
38.16,622,348
38.2,623,347
38.24,623,346
38.28,623,344
38.32,624,342
38.36,625,340
38.4,626,337
38.44,627,338
38.48,627,339
38.52,625,341
38.56,621,342
38.6,615,340
38.64,610,343
38.68,608,350
38.72,607,351
38.76,607,345
38.8,609,347
38.84,608,351
38.88,608,356
38.92,609,357
38.96,610,359
39.0,612,363
39.04,612,362
39.08,613,359
39.12,613,357
39.16,613,355
39.2,613,354
39.24,613,354
39.28,613,353
39.32,613,353
39.36,613,353
39.4,611,353
39.44,611,353
39.48,610,353
39.52,611,357
39.56,611,359
39.6,611,357
39.64,609,356
39.68,609,355
39.72,610,356
39.76,609,359
39.8,611,360
39.84,610,360
39.88,611,359
39.92,613,358
39.96,615,357
40.0,618,358
40.04,619,359
40.08,620,361
40.12,620,361
40.16,619,361
40.2,618,360
40.24,617,356
40.28,615,354
40.32,613,350
40.36,610,346
40.4,610,344
40.44,610,344
40.48,611,343
40.52,613,343
40.56,614,343
40.6,615,344
40.64,617,344
40.68,619,348
40.72,621,346
40.76,621,345
40.8,622,345
40.84,623,346
40.88,625,345
40.92,628,343
40.96,630,343
41.0,633,347
41.04,636,353
41.08,636,359
41.12,635,365
41.16,632,365
41.2,630,368
41.24,626,369
41.28,622,367
41.32,619,365
41.36,618,365
41.4,615,366
41.44,611,368
41.48,608,371
41.52,607,375
41.56,607,377
41.6,607,375
41.64,606,375
41.68,607,376
41.72,607,380
41.76,609,381
41.8,613,379
41.84,616,378
41.88,619,380
41.92,622,383
41.96,623,385
42.0,623,387
42.04,622,385
42.08,622,385
42.12,624,385
42.16,623,379
42.2,623,376
42.24,623,374
42.28,623,370
42.32,623,367
42.36,622,366
