time,0_x,13_x,14_x,17_x,37_x
35.6,624,625,626,626,614
35.64,623,624,625,626,614
35.68,623,624,624,625,613
35.72,622,623,623,624,612
35.76,622,623,623,624,612
35.8,622,623,623,624,612
35.84,622,623,623,624,612
35.88,620,622,622,623,611
35.92,620,621,621,622,609
35.96,619,621,621,621,609
36.0,620,621,621,622,610
36.04,620,621,621,622,609
36.08,620,621,621,622,610
36.12,620,621,621,622,609
36.16,619,620,621,621,609
36.2,618,620,620,620,608
36.24,619,620,620,621,609
36.28,620,621,621,621,610
36.32,621,622,622,623,611
36.36,621,622,622,623,611
36.4,621,622,622,623,611
36.44,621,621,622,622,611
36.48,620,620,621,621,610
36.52,617,618,618,618,607
36.56,616,617,617,618,606
36.6,617,618,618,619,607
36.64,617,619,619,620,607
36.68,617,618,618,619,606
36.72,617,618,618,619,606
36.76,616,617,618,618,606
36.8,617,619,619,620,607
36.84,619,620,620,621,609
36.88,621,622,623,623,612
36.92,623,624,624,625,614
36.96,626,626,627,628,617
37.0,628,628,629,629,619
37.04,629,629,630,631,619
37.08,629,630,630,631,620
37.12,629,630,630,631,619
37.16,627,628,629,630,617
37.2,628,628,629,630,616
37.24,626,627,628,629,615
37.28,625,626,627,628,614
37.32,623,624,625,626,612
37.36,621,622,622,623,610
37.4,620,620,621,622,609
37.44,619,620,620,621,608
37.48,618,619,620,620,608
37.52,618,619,619,620,608
37.56,619,619,620,621,608
37.6,619,620,620,621,608
37.64,618,619,620,620,608
37.68,619,620,620,621,608
37.72,619,620,620,621,609
37.76,620,621,622,622,610
37.8,620,620,621,621,609
37.84,620,621,621,622,610
37.88,620,621,622,622,610
37.92,620,621,622,622,610
37.96,620,621,621,622,610
38.0,623,623,624,625,612
38.04,622,623,624,624,612
38.08,621,622,622,623,611
38.12,621,622,622,623,611
38.16,621,622,622,623,611
38.2,621,622,623,623,612
38.24,622,622,623,623,612
38.28,622,623,623,624,612
38.32,623,624,624,625,613
38.36,624,625,625,626,614
38.4,625,626,626,627,615
38.44,626,626,627,628,616
38.48,626,626,627,628,616
38.52,624,625,625,626,615
38.56,620,620,621,621,610
38.6,614,614,615,615,605
38.64,609,610,610,610,599
38.68,607,608,608,608,597
38.72,606,607,607,607,596
38.76,606,607,607,607,597
38.8,608,608,609,609,598
38.84,607,608,608,608,597
38.88,607,608,608,608,597
38.92,608,609,609,609,598
38.96,609,610,610,611,599
39.0,611,612,612,612,601
39.04,611,612,612,612,601
39.08,611,612,613,613,602
39.12,611,612,613,613,601
39.16,612,613,613,613,601
39.2,611,613,613,613,601
39.24,611,613,613,613,601
39.28,612,613,613,614,602
